overall,State,totalScore,emotAndPhysRank,workEnvironRank,communityAndEnvironRank,Pop
1,Hawaii,68.27,1,30,4,1416589
2,Utah,67.84,18,1,2,3221610
3,Minnesota,67.26,2,6,10,5655925
4,North Dakota,65.62,6,9,6,760900
5,California,63.14,4,24,12,39747267
6,Idaho,63.09,24,2,1,1790182
7,Maryland,61.78,7,38,5,6062917
8,Iowa,61.07,8,18,11,3167997
9,South Dakota,60.8,14,13,8,892631
10,Nebraska,59.11,10,17,28,1940919
11,Wisconsin,58.87,16,11,14,5832661
12,Connecticut,58.24,9,40,18,3567871
13,New Jersey,58.1,3,44,38,8922547
14,New York,57.35,5,42,39,19491339
15,Virginia,57.35,15,25,27,8571946
16,Massachusetts,56.85,13,14,42,6939373
17,Washington,56.44,29,5,9,7666343
18,Colorado,55.38,19,3,46,5770545
19,Georgia,55.15,25,16,7,10627767
20,North Carolina,53.69,21,21,37,10497741
21,Arizona,52.92,27,12,34,7275070
22,Texas,52.56,11,28,49,29087070
23,Illinois,52.47,12,45,44,12700381
24,New Hampshire,52.37,23,27,31,1363852
25,Kansas,52.3,22,33,36,2910931
26,Nevada,51.8,40,15,3,3087025
27,Delaware,51.67,17,37,45,975033
28,Montana,51.08,37,7,17,1074532
29,Florida,51.01,20,20,47,21646155
30,Pennsylvania,50.54,28,41,15,12813969
31,Rhode Island,50.44,30,31,29,1056738
32,Indiana,50.2,32,22,25,6718616
33,Maine,49.81,36,10,30,1342097
34,Michigan,49.52,34,26,20,10020472
35,Wyoming,48.9,31,43,22,572381
36,South Carolina,48.26,38,32,13,5147111
37,Ohio,48.19,35,36,16,11718568
38,Vermont,48.18,26,23,48,627180
39,Oregon,48.05,43,4,24,4245901
40,Tennessee,46.13,41,8,40,6833793
41,New Mexico,43.35,39,47,35,2096034
42,Missouri,42.76,45,34,21,6147861
43,Mississippi,41.63,42,46,26,2987895
44,Kentucky,39.42,48,19,19,4484047
45,Alabama,39.35,46,39,43,4898246
46,Oklahoma,38.89,47,35,33,3948950
47,Alaska,38.21,33,49,50,735720
48,Louisiana,37.15,44,50,41,4652581
49,Arkansas,36.61,50,29,23,3026412
50,West Virginia,33.42,49,48,32,1791951
